ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039342,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039342
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159092,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159092
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142639,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142639
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063696,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063696
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__65,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__65
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304359,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304359
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096182,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096182
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh193,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh193
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157963,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157963
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__kambalda-lanfranchi-group,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__kambalda-lanfranchi-group
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00041,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00041
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10141912,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10141912
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182709,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182709
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279408,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279408
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh152,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh152
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080127,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080127
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230396,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230396
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038190,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038190
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__90,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__90
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024592,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024592
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024467,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024592
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10278754,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024592
https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1083__pahtavuoma,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1083__pahtavuoma
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt017,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt017
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280830,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280830
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001852,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001852
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__bahodopi,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__bahodopi
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10095406,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10095406
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157975,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157975
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__nyabikere,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-laterite__28
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067846,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067846
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__nb103,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__nb103
