source_id,record_id,GroupID
MRDS,10033760,1104
MRDS,10033761,1859
MRDS,10033762,1504
MRDS,10033763,881
MRDS,10033764,103
MRDS,10033765,1385
MRDS,10033766,1811
MRDS,10033767,715
MRDS,10033768,863
MRDS,10033769,844
MRDS,10033770,125
MRDS,10033771,125
MRDS,10033772,834
MRDS,10033773,1374
MRDS,10033774,1836
MRDS,10033775,844
MRDS,10033776,892
MRDS,10033777,85
MRDS,10033778,778
MRDS,10033779,1131
MRDS,10033780,1343
MRDS,10033781,1048
MRDS,10033782,1343
MRDS,10033783,1048
MRDS,10033784,1594
MRDS,10033785,442
MRDS,10033786,1274
MRDS,10033787,1095
MRDS,10033788,410
MRDS,10033789,1860
MRDS,10033790,1685
MRDS,10033791,127
MRDS,10033792,1129
MRDS,10033793,1265
MRDS,10033794,880
MRDS,10033795,1464
MRDS,10033935,1718
MRDS,10034098,266
MRDS,10034255,1531
MRDS,10034268,1184
MRDS,10034305,1274
MRDS,10036507,156
MRDS,10036655,325
MRDS,10036657,114
MRDS,10036660,977
MRDS,10036661,1213
MRDS,10036664,542
MRDS,10036803,339
MRDS,10036804,304
MRDS,10036817,1610
MRDS,10036825,239
MRDS,10036898,894
MRDS,10036903,1055
MRDS,10036919,735
MRDS,10036920,735
MRDS,10036921,248
MRDS,10036922,248
MRDS,10036923,248
MRDS,10036924,248
MRDS,10036925,248
MRDS,10036926,735
MRDS,10036927,735
MRDS,10036930,1705
MRDS,10036943,385
MRDS,10037016,379
MRDS,10037023,1476
MRDS,10037698,1861
MRDS,10037854,647
MRDS,10037860,1411
MRDS,10037911,1371
MRDS,10038010,1291
MRDS,10038044,1862
MRDS,10038078,275
MRDS,10038079,275
MRDS,10038083,547
MRDS,10038112,1573
MRDS,10038127,249
MRDS,10038190,1092
MRDS,10038191,167
MRDS,10038192,1540
MRDS,10038194,1540
MRDS,10038195,1540
MRDS,10038230,1427
MRDS,10038231,1222
MRDS,10038232,1064
MRDS,10038233,181
MRDS,10038234,1445
MRDS,10038235,139
MRDS,10038236,1505
MRDS,10038260,897
MRDS,10038297,537
MRDS,10038313,1863
MRDS,10038314,1864
MRDS,10038315,432
MRDS,10038415,1474
MRDS,10038416,1069
MRDS,10038417,1865
MRDS,10038418,1866
MRDS,10038419,1670
MRDS,10038420,553
MRDS,10038421,1755
MRDS,10038422,1510
MRDS,10038423,1867
MRDS,10038424,14
MRDS,10038425,1868
MRDS,10038426,1869
MRDS,10038427,1271
MRDS,10038428,601
MRDS,10038429,18
MRDS,10038430,19
MRDS,10038431,1704
MRDS,10038432,1870
MRDS,10038433,312
MRDS,10038434,703
MRDS,10038435,610
MRDS,10038436,1276
MRDS,10038437,847
MRDS,10038438,1239
MRDS,10038439,1138
MRDS,10038440,80
MRDS,10038441,61
MRDS,10038442,157
MRDS,10038443,891
MRDS,10038444,6
MRDS,10038445,952
MRDS,10038446,357
MRDS,10038447,279
MRDS,10038448,233
MRDS,10038449,1763
MRDS,10038450,1565
MRDS,10038622,1871
MRDS,10038682,285
MRDS,10038694,878
MRDS,10038695,1872
MRDS,10038699,1305
MRDS,10038748,1646
