source_id,record_id,GroupID
MRDS,10003420,2251
MRDS,10003512,5191
MRDS,10003539,3334
MRDS,10003568,5192
MRDS,10003608,5193
MRDS,10003620,636
MRDS,10003631,3528
MRDS,10003963,4606
MRDS,10004120,3183
MRDS,10004126,3910
MRDS,10004127,2768
MRDS,10004128,1432
MRDS,10004134,4859
MRDS,10004143,3407
MRDS,10004196,1302
MRDS,10004197,3774
MRDS,10004206,2411
MRDS,10004226,3751
MRDS,10004251,2544
MRDS,10004253,3390
MRDS,10004269,218
MRDS,10004270,218
MRDS,10004272,2335
MRDS,10004274,4352
MRDS,10004277,3085
MRDS,10004278,2877
MRDS,10004279,3912
MRDS,10004282,4601
MRDS,10004283,4352
MRDS,10004288,5194
MRDS,10004313,2793
MRDS,10004314,5195
MRDS,10004315,76
MRDS,10004316,1287
MRDS,10004336,5196
MRDS,10004537,1390
MRDS,10004540,1926
MRDS,10004560,2546
MRDS,10004665,5197
MRDS,10004666,1506
MRDS,10004667,4285
MRDS,10004673,3112
MRDS,10004674,4279
MRDS,10004717,3672
MRDS,10004722,1338
MRDS,10004730,5198
MRDS,10004732,4257
MRDS,10004733,2022
MRDS,10004829,4296
MRDS,10004833,1084
MRDS,10004838,2787
MRDS,10004923,3032
MRDS,10004924,909
MRDS,10005135,983
MRDS,10005509,4449
MRDS,10005510,192
MRDS,10005557,305
MRDS,10005860,3169
MRDS,10005976,1956
MRDS,10005988,1916
MRDS,10006062,1916
MRDS,10006105,429
MRDS,10006123,2303
MRDS,10006124,1574
MRDS,10006125,220
MRDS,10006126,3357
MRDS,10006154,4457
MRDS,10006165,2939
MRDS,10006167,4300
MRDS,10006175,762
MRDS,10006177,5139
MRDS,10006192,1173
MRDS,10006200,3207
MRDS,10006202,1896
MRDS,10006203,267
MRDS,10006204,2993
MRDS,10006206,3637
MRDS,10006207,4009
MRDS,10006240,222
MRDS,10006241,5199
MRDS,10006243,3550
MRDS,10006245,5008
MRDS,10006246,157
MRDS,10006247,3611
MRDS,10006251,3670
MRDS,10006252,4140
MRDS,10006267,3020
MRDS,10006274,1592
MRDS,10006275,1592
MRDS,10006276,1795
MRDS,10006278,1753
MRDS,10006286,1306
MRDS,10006287,3868
MRDS,10006291,3053
MRDS,10006292,1616
MRDS,10006293,5001
MRDS,10006298,5200
MRDS,10006299,4045
MRDS,10006300,1457
MRDS,10006301,358
MRDS,10006302,4018
MRDS,10006313,4985
MRDS,10006327,363
MRDS,10006328,3397
MRDS,10006345,1398
MRDS,10006378,1412
MRDS,10006391,5201
MRDS,10006433,4589
MRDS,10006436,208
MRDS,10006440,217
MRDS,10006441,3382
MRDS,10006452,5202
MRDS,10006454,4777
MRDS,10006455,5203
MRDS,10006458,5204
MRDS,10006484,3353
MRDS,10006487,3831
MRDS,10006488,2145
MRDS,10006499,2506
MRDS,10006500,201
MRDS,10006501,856
MRDS,10006502,4701
MRDS,10006503,728
MRDS,10006524,2596
MRDS,10006526,3574
MRDS,10006540,733
MRDS,10006548,2771
MRDS,10006629,1400
MRDS,10006631,4557
MRDS,10006633,497
MRDS,10006702,3729
MRDS,10006703,1264
MRDS,10006806,2954
MRDS,10006821,3451
MRDS,10007148,4407
MRDS,10007212,1106
MRDS,10007262,2839
MRDS,10007324,4070
MRDS,10007408,594
MRDS,10008087,3795
MRDS,10008106,3044
MRDS,10008128,5205
MRDS,10008300,641
MRDS,10008318,1062
MRDS,10008336,2268
MRDS,10008342,3003
MRDS,10008358,3244
MRDS,10008380,431
MRDS,10008386,4504
MRDS,10008388,1188
MRDS,10008395,901
MRDS,10008407,4626
MRDS,10008410,4266
MRDS,10008434,625
MRDS,10008438,3054
MRDS,10008459,3956
MRDS,10008472,2910
MRDS,10008477,608
MRDS,10008481,1587
MRDS,10008486,1571
MRDS,10008491,3952
MRDS,10008495,5206
MRDS,10008496,2127
MRDS,10008498,22
MRDS,10008524,3765
MRDS,10008525,144
MRDS,10008526,3425
MRDS,10008527,2923
MRDS,10008528,459
MRDS,10008529,3583
MRDS,10008530,1376
MRDS,10008531,3011
MRDS,10008532,1784
MRDS,10008533,494
MRDS,10008534,2940
MRDS,10008535,4223
MRDS,10008536,388
MRDS,10008539,2605
MRDS,10008540,4115
MRDS,10008541,998
MRDS,10008543,186
MRDS,10008544,2036
MRDS,10008545,5207
MRDS,10008546,1187
MRDS,10008548,60
MRDS,10008549,3219
MRDS,10008550,183
MRDS,10008551,31
MRDS,10008552,3653
MRDS,10008553,4725
MRDS,10008554,3609
MRDS,10008555,2263
MRDS,10008556,4038
MRDS,10008557,3548
MRDS,10008558,125
MRDS,10008559,2453
MRDS,10008560,4537
MRDS,10008561,2119
MRDS,10008562,11
MRDS,10008563,4038
MRDS,10008564,2677
MRDS,10008565,2813
MRDS,10008566,1669
MRDS,10008567,1765
MRDS,10008568,1454
MRDS,10008569,245
MRDS,10008570,754
MRDS,10008571,1822
MRDS,10008572,501
MRDS,10008574,974
MRDS,10008575,68
MRDS,10008577,56
MRDS,10008578,4833
MRDS,10008579,3700
MRDS,10008580,2437
MRDS,10008581,1237
MRDS,10008582,2554
MRDS,10008583,3187
MRDS,10008584,3019
MRDS,10008585,3483
MRDS,10008586,4604
MRDS,10008587,2076
MRDS,10008588,2280
MRDS,10008589,2941
MRDS,10008590,1568
MRDS,10008591,2243
MRDS,10008592,1894
MRDS,10008593,1593
MRDS,10008594,2880
MRDS,10008595,2880
MRDS,10008596,4964
MRDS,10008597,3028
MRDS,10008598,1685
MRDS,10008599,438
MRDS,10008600,1573
MRDS,10008601,1062
MRDS,10008602,1818
MRDS,10008603,3471
MRDS,10008604,5208
MRDS,10008605,1816
MRDS,10008606,1807
MRDS,10008607,1755
MRDS,10008608,5016
MRDS,10008609,182
MRDS,10008610,3078
MRDS,10008611,4385
MRDS,10008612,1549
MRDS,10008613,5065
MRDS,10008614,376
MRDS,10008615,4175
MRDS,10008616,1708
MRDS,10008617,3905
MRDS,10008618,1666
MRDS,10008619,2084
MRDS,10008620,3430
MRDS,10008621,4160
MRDS,10008622,587
MRDS,10008623,4002
MRDS,10008624,3091
MRDS,10008625,1730
MRDS,10008626,3712
MRDS,10008627,3720
MRDS,10008628,4539
MRDS,10008629,3835
MRDS,10008630,1425
MRDS,10008631,4429
MRDS,10008632,371
MRDS,10008633,1537
MRDS,10008634,4691
MRDS,10008635,4055
MRDS,10008636,1971
MRDS,10008637,313
MRDS,10008638,1855
MRDS,10008639,1420
MRDS,10008640,400
MRDS,10008641,4359
MRDS,10008642,820
MRDS,10008643,3174
MRDS,10008644,2532
MRDS,10008645,3237
MRDS,10008646,3950
MRDS,10008647,4104
MRDS,10008648,2749
MRDS,10008649,5137
MRDS,10008650,4845
MRDS,10008651,761
MRDS,10008652,2413
MRDS,10008653,1801
MRDS,10008654,3866
MRDS,10008656,4565
MRDS,10008657,4765
MRDS,10008658,1369
MRDS,10008659,4896
MRDS,10008660,4864
MRDS,10008661,2711
MRDS,10008662,3140
MRDS,10008663,2745
MRDS,10008664,1195
MRDS,10008665,4556
MRDS,10008666,260
MRDS,10008667,296
MRDS,10008668,4215
MRDS,10008669,5129
MRDS,10008670,2097
MRDS,10008671,2277
MRDS,10008672,4890
MRDS,10008673,4410
MRDS,10008674,2483
MRDS,10008675,4442
MRDS,10008676,4596
MRDS,10008677,3697
MRDS,10008678,2679
MRDS,10008679,1102
MRDS,10008680,365
MRDS,10008681,2171
MRDS,10008682,4500
MRDS,10008683,2492
MRDS,10008684,1461
MRDS,10008685,451
MRDS,10008686,1291
MRDS,10008687,1835
MRDS,10008688,3224
MRDS,10008689,1092
MRDS,10008690,196
MRDS,10008691,1194
MRDS,10008692,1207
MRDS,10008693,1061
MRDS,10008694,2322
MRDS,10008695,4794
MRDS,10008696,2522
MRDS,10008697,4552
MRDS,10008698,2974
MRDS,10008699,1402
MRDS,10008700,1963
MRDS,10008701,5094
MRDS,10008702,5054
MRDS,10008703,5209
MRDS,10008704,857
MRDS,10008705,3610
MRDS,10008706,3666
MRDS,10008708,4704
MRDS,10008709,3530
MRDS,10008710,1137
MRDS,10008711,3792
MRDS,10008712,1090
MRDS,10008713,3277
MRDS,10008715,2
MRDS,10008716,3203
MRDS,10008717,50
MRDS,10008719,1109
MRDS,10008720,4721
MRDS,10008722,1223
MRDS,10008723,979
MRDS,10008725,1099
MRDS,10008726,5210
MRDS,10008727,523
MRDS,10008729,189
MRDS,10008730,4265
MRDS,10008732,5211
MRDS,10008733,2948
MRDS,10008734,3942
MRDS,10008735,4645
MRDS,10008736,2946
MRDS,10008737,330
MRDS,10008738,886
MRDS,10008740,2057
MRDS,10008741,2232
MRDS,10008742,787
MRDS,10008743,3655
MRDS,10008748,4844
MRDS,10008754,1176
MRDS,10008755,4046
MRDS,10008756,5037
MRDS,10008757,4853
MRDS,10008758,1901
MRDS,10008759,1263
MRDS,10008764,435
MRDS,10008765,5046
MRDS,10008767,3463
MRDS,10008768,1862
MRDS,10008771,4048
MRDS,10008773,3069
MRDS,10008774,1198
MRDS,10008775,4566
MRDS,10008776,4092
MRDS,10008777,689
MRDS,10008778,1577
MRDS,10008779,3422
MRDS,10008780,1086
MRDS,10008781,3384
MRDS,10008784,42
MRDS,10008785,449
MRDS,10008788,4414
MRDS,10008789,519
MRDS,10008790,3520
MRDS,10008791,410
MRDS,10008792,3963
MRDS,10008793,131
MRDS,10008794,3373
MRDS,10008796,3976
MRDS,10008797,0
MRDS,10008798,3953
MRDS,10008799,2624
MRDS,10008800,774
MRDS,10008801,3633
MRDS,10008802,2241
MRDS,10008803,809
MRDS,10008804,4084
MRDS,10008805,1021
MRDS,10008806,1089
MRDS,10008807,2694
MRDS,10008808,1168
MRDS,10008809,816
MRDS,10008810,1499
MRDS,10008811,3363
MRDS,10008812,788
MRDS,10008813,790
MRDS,10008814,4158
MRDS,10008815,954
MRDS,10008816,853
MRDS,10008817,2206
MRDS,10008818,1759
MRDS,10008819,3588
MRDS,10008820,1033
MRDS,10008821,2186
MRDS,10008822,1622
MRDS,10008823,1811
MRDS,10008824,2083
MRDS,10008825,4825
MRDS,10008826,158
MRDS,10008827,1298
MRDS,10008828,713
MRDS,10008829,3202
MRDS,10008831,4823
MRDS,10008832,3398
MRDS,10008833,2421
MRDS,10008834,2212
MRDS,10008835,3030
MRDS,10008837,4276
