Deposit type
Residual placer tin
Residual placer lead
Fluvial placer gold
Fluvial placer PGE
Fluvial placer tin
Fluvial placer niobium- tantalum
Fluvial placer tungsten
Fluvial placer REE
Fluvial placer diamond
Fluvial placer gemstones
Fluvial placer garnet
Heavy mineral sands
Shoreline placer gold
Paleoplacer heavy mineral sands
Paleoplacer tin
Paleoplacer gold ± uranium
Bauxite
Karst bauxite
Laterite nickel
Carbonatite laterite REE
Laterite magnesite
Residual clay
"Underclay, over- clay"
Ion adsorption REE
Supergene silver
Supergene lead
Supergene uranium
Supergene vanadium
Supergene gold
Supergene zinc
Supergene copper
Supergene manganese
Supergene iron
Exotic copper
Paleochannel iron
Sandstone uranium
Carbonate uranium
Coal/peat/bog uranium
Calcrete uranium
Nodular magnesite
Marine evaporite gypsum
Marine evaporite salt
Marine evaporite potash
Marine evaporite magnesite
Lacustrine evaporite trona
Lacustrine evaporite salt
Lacustrine evaporite potash
Lacustrine evaporite carnallite- bischofite
Lacustrine evaporite borate
Lacustrine evaporite magnesite
Lacustrine evaporite nitrate
"Marine brine potash (±Mg, Li, and so on)"
Lacustrine brine potash
Lacustrine brine lithium
"Lacustrine zeolite (± Li, B)"
Lacustrine clay lithium
Black shale va- nadium ± Mo ± Ni
Black shale nickel ± Mo- PGE
Black shale gold
Black shale uranium
Phosphorite
Superior-type banded iron formation
Oolitic iron formation
Lacustrine iron formation
Superior-type banded manganese
Sedimentary manganese
Crust manganese
Nodule manganese
Lacustrine manganese
Unconformity- related ura- nium
Unconformity- related REE
Collapse breccia pipe uranium
Volcanic-hosted copper
Sediment-hosted copper ± Co
Siliciclastic-mafic zinc-lead
Siliciclastic-mafic barite
Siliciclastic- carbonate zinc-lead
Irish-type sediment- hosted zinc- lead
Kipushi-type sediment- hosted copper- zinc-lead
MVT zinc-lead
MVT barite
MVT fluorspar
MVT strontium
Sandstone-hosted zinc-lead
Non-sulfide zinc-lead ± Mn
Vein five-element
Hypozonal orogenic gold
Mesozonal orogenic gold
Epizonal orogenic gold
Epizonal orogenic antimony ± gold
Epizonal orogenic mercury
Orogenic silver-lead- zinc-copper- antimony
Orogenic copper ± gold
Orogenic graphite
Metamorphic graphite
Metamorphic kyanite
Low Iron alkali-calcic
Albitite-hosted uranium
Ferroan carbonate polymetallic
Iron sulfide polymetallic
Iron silicate polymetallic
Iron oxide poly- metallic
Iron oxide uranium
Iron oxide gold
Hematite- dominant IOCG
Magnetite- dominant IOCG
Hematite- dominant IOA
Magnetite- dominant IOA
Mafic-ultramafic VMS
Mafic-siliciclastic VMS
Bimodal-mafic VMS
Bimodal felsic VMS
Felsic-siliciclastic VMS
Algoma-type banded iron formation
Volcanogenic manganese
Low-sulfidation (LS) epither- mal gold-silver
"Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn"
High-sulfidation (HS) epithermal silver-gold ± Cu
Alkalic epithermal gold ± Ag
Epithermal mercury
Epithermal beryllium
Epithermal uranium
Vein ± replacement nickel
Vein cobalt ± Ni
Vein copper
Vein tin
Vein tungsten
Vein tin polymetallic
Vein fluorite
Vein polymetallic
Breccia pipe copper
Breccia pipe gold
Breccia pipe molybdenum
Breccia pipe REE
Carlin-type gold
Distal- disseminated silver-gold
Replacement polymetallic
Replacement gold-silver
Replacement tin
Replacement copper
Replacement zinc-lead
Replacement manganese
Replacement magnesium
Replacement fluorite
Skarn iron
Skarn copper
Skarn tungsten ± Mo
Skarn tin ± copper ± Mo
Skarn gold ± copper ± tungsten
Skarn zinc-lead-silver
Skarn molybdenum
Skarn beryllium- fluorite
Skarn uranium- REE
Porphyry copper ± gold
Porphyry copper- molybdenum
Porphyry gold ± copper
Climax-type porphyry molybdenum
Low-fluorine porphyry molybdenum
Porphyry tungsten
Porphyry tin
Greisen tin ±W-Mo
Greisen tungsten- molybdenum±Bi
Greisen beryllium±Li
Reduced intrusion- related gold
Oxidized intrusion- related gold
Simple pegmatite
LCT pegmatite
NYF pegmatite
Abyssal pegmatite REE
Carbonatite REE
Carbonatite niobium
Peralkaline igneous HFSE- REE
Apatite- nepheline- titanite intrusion
Apatite intrusion REE
Kimberlite diamond
Komatiite nickel-copper-PGE
U-M layered intrusion chromium
U-M layered intrusion nickel- copper-PGE
U-M layered intrusion PGE
"U-M layered intrusion
 iron-titanium- vanadium"
U-M intrusion nickel-copper- PGE
U-M conduit nickel-copper- PGE
Ophiolite chromium
Ophiolite nickel-copper-PGE
Arc U-M intrusion titanium- vanadium
Arc U-M intru- sion nickel- copper-PGE
Anorthosite massif titanium
Anorthosite conduit nickel- copper-PGE
Impact U-M intrusion nickel- copper-PGE
